INFO:     Started server process [1072]
INFO:     Waiting for application startup.
INFO:httpx:HTTP Request: POST http://localhost:8000/nodes/register "HTTP/1.1 200 OK"
INFO:node.base:[bob-5] Registered → node_id=d5465168
INFO:node.base:[bob-5] Started  node_id=d5465168 role=receiver
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8205 (Press CTRL+C to quit)
INFO:     127.0.0.1:37012 - "POST /webhook HTTP/1.1" 200 OK
INFO:httpx:HTTP Request: POST http://localhost:8000/sessions/827a3a67-970b-4da4-a1fc-d4d45a4b7577/join "HTTP/1.1 200 OK"
INFO:node.base:[bob-5] Joined session=827a3a67 qkdl=http://localhost:8043
INFO:bob:[Bob] Joined session=827a3a67 n_qubits=1024 qkdl=http://localhost:8043
INFO:bob:[Bob] Receive loop started session=827a3a67 target=1024 qkdl=http://localhost:8043 deadline_s=8222
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
INFO:httpx:HTTP Request: GET http://localhost:8043/qubit/receive/827a3a67-970b-4da4-a1fc-d4d45a4b7577 "HTTP/1.1 200 OK"
